Ordre;Varenummer;Varenavn;Labels;Leveret;Individ;Klargøring;Individ varenummer;Model;Navn
0731885;BAKE-OFF 90CM OKE S;Rustfri bake-off disk 90 cm - model OK med afdækning;1,00;1,00;BAKE-OFF 90CM OKE S;Nej;BAKE-OFF 90CM OKE S;BAKE-OFF 90CM OKE S;Rustfri bake-off disk 90 cm - model OK med afdækning
0731885;AIDA 120 HC M GULD S;AIDA 120 HC M - GULD - Convenience køler - ombygget;2,00;2,00;AIDA 120 HC M GULD S;Nej;AIDA 120 HC M GULD S;AIDA 120 HC M GULD S;AIDA 120 HC M - GULD - Convenience køler - ombygget
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
