Ordre;Varenummer;Varenavn;Labels;Leveret;Individ;Klargøring;Individ varenummer;Model;Navn
0730264;AIDA 60 BO A;AHT AC Flower - blomsterkøler med 2 hylder;1,00;1,00;AIDA 60 BO A;Nej;AIDA 60 BO A;AIDA 60 BO A;AHT AC Flower - blomsterkøler med 2 hylder
0730264;BELLA 900 9006;BELLA 900 SO M - GRÅ - Convenience køler 3 hylder;2,00;2,00;BELLA 900 9006;Nej;BELLA 900 9006;BELLA 900 9006;BELLA 900 SO M - GRÅ - Convenience køler 3 hylder
0730264;CUBE 600II 9005 MEAT;CUBE 600II - convenience køler - lige glas - lys 4000 Kelvin;1,00;1,00;CUBE 600II 9005 MEAT;Nej;CUBE 600II 9005 MEAT;CUBE 600II 9005 MEAT;CUBE 600II - convenience køler - lige glas - lys 4000 Kelvin
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
