Ordre;Varenummer;Varenavn;Labels;Leveret;Individ;Klargøring;Individ varenummer;Model;Navn
0732635;OPERA 900 BO M CH BR;OPERA 900 BO Chrome med skrå glas - REMOTE;1,00;1,00;OPERA 900 BO M CH BR;Nej;OPERA 900 BO M CH BR;OPERA 900 BO M CH BR;OPERA 900 BO Chrome med skrå glas - REMOTE
0732635;SAGA 90 M 0 STS;Saga 90 M - 3 flytbare hylder - RUSTFRI;1,00;1,00;SAGA 90 M 0 STS;Nej;SAGA 90 M 0 STS;SAGA 90 M 0 STS;Saga 90 M - 3 flytbare hylder - RUSTFRI
0732635;POLSEDISK 120CM 711;Rustfri pølsedisk 120 cm - model 711;1,00;1,00;POLSEDISK 120CM 711;Nej;POLSEDISK 120CM 711;POLSEDISK 120CM 711;Rustfri pølsedisk 120 cm - model 711
0732635;RS909100 S;Neutral disk model OK;2,00;2,00;RS909100 S;Nej;RS909100 S;RS909100 S;Neutral disk model OK
