Ordre;Varenummer;Varenavn;Labels;Leveret;Individ;Klargøring;Individ varenummer;Model;Navn
0728335;BASSO 90;BASSO 90 - Convenience køler - Standard;3,00;3,00;BASSO 90;Nej;BASSO 90;BASSO 90;BASSO 90 - Convenience køler - Standard
0728335;CUBE 1000 II SS 9006;Georgia Cube 1000 - convenience køler-lige glas self service;1,00;1,00;CUBE 1000 II SS 9006;Nej;CUBE 1000 II SS 9006;CUBE 1000 II SS 9006;Georgia Cube 1000 - convenience køler-lige glas self service
0728335;DELI 135-60 NYD;DELI 135-60 - convenience køler - hvid/RAL 0088;2,00;2,00;DELI 135-60 NYD;Nej;DELI 135-60 NYD;DELI 135-60 NYD;DELI 135-60 - convenience køler - hvid/RAL 0088
