Ordre;Varenummer;Varenavn;Labels;Leveret;Individ;Klargøring;Individ varenummer;Model;Navn
0732206;GLASSY 800 SPEC;GLASSY 800 - special lavet chokolade skab 15-18°;1,00;1,00;GLASSY 800 SPEC;Nej;GLASSY 800 SPEC;GLASSY 800 SPEC;GLASSY 800 - special lavet chokolade skab 15-18°
0732206;JUK 1200;SMART 120 - Convenience køler m/ 2 hylder - sort;1,00;1,00;JUK 1200;Nej;JUK 1200;JUK 1200;SMART 120 - Convenience køler m/ 2 hylder - sort
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
