Ordre;Varenummer;Varenavn;Labels;Leveret;Individ;Klargøring;Individ varenummer;Model;Navn
0729254;KOLEDISK 60CM XOE;Rustfri køledisk 60 cm;3,00;3,00;KOLEDISK 60CM XOE;Nej;KOLEDISK 60CM XOE;KOLEDISK 60CM XOE;Rustfri køledisk 60 cm
0729254;GENIUS 2-1027;GENIUS 2 H145 - convenience køler med 3 hylder;1,00;1,00;GENIUS 2-1027;Nej;GENIUS 2-1027;GENIUS 2-1027;GENIUS 2 H145 - convenience køler med 3 hylder
0729254;JUK 900;SMART 90 - Convenience køler m/ 2 hylder - sort;1,00;1,00;JUK 900;_Nej;JUK 900;JUK 900;SMART 90 - Convenience køler m/ 2 hylder - sort
