Ordre;Varenummer;Varenavn;Labels;Leveret;Individ;Klargøring;Individ varenummer;Model;Navn
0730333;DELI 175-90 9005 TRO;DELI 175-090 - convenience køler - RAL 9005;1,00;1,00;DELI 175-90 9005 TRO;Nej;DELI 175-90 9005 TRO;DELI 175-90 9005 TRO;DELI 175-090 - convenience køler - RAL 9005
0730333;HARMONY 170 9005;HARMONY 170 SORT - OPEN FRONT køler med 3 hylder;2,00;2,00;HARMONY 170 9005;Nej;HARMONY 170 9005;HARMONY 170 9005;HARMONY 170 SORT - OPEN FRONT køler med 3 hylder
0730333;NORCON 90 7031;NORCON 90 7031 - ral 7031;1,00;1,00;NORCON 90 7031;Nej;NORCON 90 7031;NORCON 90 7031;NORCON 90 7031 - ral 7031
