Ordre;Varenummer;Varenavn;Labels;Leveret;Individ;Klargøring;Individ varenummer;Model;Navn
0731446;RS909100 S;Neutral disk model OK;1,00;1,00;RS909100 S;Nej;RS909100 S;RS909100 S;Neutral disk model OK
0731446;WALL 3GN RETRO;WALL 3GN - drop in unit med 3 hylder - lige glas;2,00;2,00;WALL 3GN RETRO;Nej;WALL 3GN RETRO;WALL 3GN RETRO;WALL 3GN - drop in unit med 3 hylder - lige glas
0731446;VELA;VELA - Disk montre - LED lys - 5 Hylder;1,00;1,00;VELA;Nej;VELA;VELA;VELA - Disk montre - LED lys - 5 Hylder
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
