Ordre;Varenummer;Varenavn;Labels;Leveret;Individ;Klargøring;Individ varenummer;Model;Navn
0731439;GLASSY 800 SPEC;GLASSY 800 - special lavet chokolade skab 15-18°;1,00;1,00;GLASSY 800 SPEC;Nej;GLASSY 800 SPEC;GLASSY 800 SPEC;GLASSY 800 - special lavet chokolade skab 15-18°
0731439;ELEGANCE 2GN AMB;ELEGANCE 2GN NEUTRAL - disk unit med 3 hylder - lige glas;2,00;2,00;ELEGANCE 2GN AMB;Nej;ELEGANCE 2GN AMB;ELEGANCE 2GN AMB;ELEGANCE 2GN NEUTRAL - disk unit med 3 hylder - lige glas
0731439;DELI 135-60 0088;DELI 135-60 - convenience køler - hvid/RAL 0088;1,00;1,00;DELI 135-60 0088;Nej;DELI 135-60 0088;DELI 135-60 0088;DELI 135-60 - convenience køler - hvid/RAL 0088
