Ordre;Varenummer;Varenavn;Labels;Leveret;Individ;Klargøring;Individ varenummer;Model;Navn
0731542;KOLEDISK 60CME;Rustfri køle disk 60 cm;2,00;2,00;KOLEDISK 60CME;Nej;KOLEDISK 60CME;KOLEDISK 60CME;Rustfri køle disk 60 cm
0731542;OHIO LEFT;OHIO diskkøler - komp. venstre side - 2 hylder;3,00;3,00;OHIO LEFT;Nej;OHIO LEFT;OHIO diskkøler - komp. venstre side - 2 hylder;AIDO 120 SO M - RUSTFRI - Convenience køler
