Ordre;Varenummer;Varenavn;Labels;Leveret;Individ;Klargøring;Individ varenummer;Model;Navn
0731797;MIX 135-125 RETRO AM;MIX 135 125 RETRO AM - disk i neutral med 2 glashylder;1,00;1,00;MIX 135-125 RETRO AM;Nej;MIX 135-125 RETRO AM;MIX 135-125 RETRO AM;MIX 135 125 RETRO AM - disk i neutral med 2 glashylder
0731797;EASY REACH EXPRESS;Easy Reach Express HC LM - brutto 214L;2,00;2,00;EASY REACH EXPRESS;Nej;EASY REACH EXPRESS;EASY REACH EXPRESS;Easy Reach Express HC LM - brutto 214L
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
