Ordre;Varenummer;Varenavn;Labels;Leveret;Individ;Klargøring;Individ varenummer;Model;Navn
0731118;MIX 135-100 RETRO;MIX 135 100 RETRO - køledisk i ventileret køl med 2 glashyl;3,00;3,00;MIX 135-100 RETRO;Nej;MIX 135-100 RETRO;MIX 135-100 RETRO;MIX 135 100 RETRO - køledisk i ventileret køl med 2 glashyl
0731118;COMBI 90CM 711E;Rustfri combi disk 90 cm - model 711;1,00;1,00;COMBI 90CM 711E;Nej;COMBI 90CM 711E;COMBI 90CM 711E;Rustfri combi disk 90 cm - model 711
