Ordre;Varenummer;Varenavn;Labels;Leveret;Individ;Klargøring;Individ varenummer;Model;Navn
0732100;FLOWER COOLER;AJO Flower cooler - blomster convenience køler;1,00;1,00;FLOWER COOLER;Nej;FLOWER COOLER;FLOWER COOLER;AJO Flower cooler - blomster convenience køler
0732100;FOS 100;Åben convenience køler;1,00;1,00;FOS 100;Nej;FOS 100;FOS 100;Åben convenience køler
0732100;ELEGANCE 2GN AMB;ELEGANCE 2GN NEUTRAL - disk unit med 3 hylder - lige glas;1,00;1,00;ELEGANCE 2GN AMB;Nej;ELEGANCE 2GN AMB;ELEGANCE 2GN AMB;ELEGANCE 2GN NEUTRAL - disk unit med 3 hylder - lige glas
