Ordre;Varenummer;Varenavn;Labels;Leveret;Individ;Klargøring;Individ varenummer;Model;Navn
0731431;KOLEDISK 90CM XOE;Rustfri køledisk 90 cm;1,00;1,00;KOLEDISK 90CM XOE;Nej;KOLEDISK 90CM XOE;KOLEDISK 90CM XOE;Rustfri køledisk 90 cm
0731431;JUK 700 9006;SMART 70 - Convenience køler m/ 2 hylder - Grå RAL 9006;3,00;3,00;JUK 700 9006;Nej;JUK 700 9006;JUK 700 9006;SMART 70 - Convenience køler m/ 2 hylder - Grå RAL 9006
0731431;GILDA 1;GILDA 1  - chokoladekøler til 1 x EN;1,00;1,00;GILDA 1;Nej;GILDA 1;GILDA 1;GILDA 1  - chokoladekøler til 1 x EN
