Ordre;Varenummer;Varenavn;Labels;Leveret;Individ;Klargøring;Individ varenummer;Model;Navn
0727308;S 300 RYSG;S 300 RYSG  - kølemontre med 2 skydedøre i front - lukket ba;2,00;2,00;S 300 RYSG;Nej;S 300 RYSG;S 300 RYSG;S 300 RYSG  - kølemontre med 2 skydedøre i front - lukket ba
0727308;KENTUCKY COLD 3GN;KENTUCKY COLD 3GN - Diskmontre m/ 1 hylde 1140130;3,00;3,00;KENTUCKY COLD 3GN;Nej;KENTUCKY COLD 3GN;KENTUCKY COLD 3GN;KENTUCKY COLD 3GN - Diskmontre m/ 1 hylde 1140130
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
