Ordre;Varenummer;Varenavn;Labels;Leveret;Individ;Klargøring;Individ varenummer;Model;Navn
0731449;OPERA 1200 SR-T CR S;OPERA 1200 SR/T - pølsedisk med skrå glas - Chrome - PLUG IN;1,00;1,00;OPERA 1200 SR-T CR S;Nej;OPERA 1200 SR-T CR S;OPERA 1200 SR-T CR S;OPERA 1200 SR/T - pølsedisk med skrå glas - Chrome - PLUG IN
0731449;OFC 220 CULT S;OFC 220 - CULT dekoration lystop;2,00;2,00;OFC 220 CULT S;Nej;OFC 220 CULT S;OFC 220 CULT S;OFC 220 - CULT dekoration lystop
0731449;MIX 135-125 RETRO AM;MIX 135 125 RETRO AM - disk i neutral med 2 glashylder;2,00;2,00;MIX 135-125 RETRO AM;Nej;MIX 135-125 RETRO AM;MIX 135-125 RETRO AM;MIX 135 125 RETRO AM - disk i neutral med 2 glashylder
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
