Ordre;Varenummer;Varenavn;Labels;Leveret;Individ;Klargøring;Individ varenummer;Model;Navn
0731766;GLE 40 115/60 PAP S;GLE 40 115V/60HZ pap emb. - 45 grader - statisk frys 360 L;1,00;1,00;GLE 40 115/60 PAP S;Nej;GLE 40 115/60 PAP S;GLE 40 115/60 PAP S;GLE 40 115V/60HZ pap emb. - 45 grader - statisk frys 360 L
0731766;NORCON-150-90A-M SIL;NORCON-150-90-M - højde 150 - silver;2,00;2,00;NORCON-150-90A-M SIL;Nej;NORCON-150-90A-M SIL;NORCON-150-90A-M SIL;NORCON-150-90-M - højde 150 - silver
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
