Ordre;Varenummer;Varenavn;Labels;Leveret;Individ;Klargøring;Individ varenummer;Model;Navn
0732276;MIX 135-100 RETRO ST;MIX 135 100 RETRO - køledisk i statisk køl med 2 glashylder;2,00;2,00;MIX 135-100 RETRO ST;Nej;MIX 135-100 RETRO ST;MIX 135-100 RETRO ST;MIX 135 100 RETRO - køledisk i statisk køl med 2 glashylder
0732276;GEORGIA 1500 SPLIT;GEORGIA 1500 SPLIT - 2 seperate kølerum;1,00;1,00;GEORGIA 1500 SPLIT;;GEORGIA 1500 SPLIT;GEORGIA 1500 SPLIT;GEORGIA 1500 SPLIT - 2 seperate kølerum
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
