Ordre;Varenummer;Varenavn;Labels;Leveret;Individ;Klargøring;Individ varenummer;Model;Navn
0726936;AHT AC W FLOWER;AHT AC Flower - blomsterkøler med 2 hylder;3,00;3,00;AHT AC W FLOWER;Nej;AHT AC W FLOWER;AHT AC W FLOWER;AHT AC Flower - blomsterkøler med 2 hylder
0726936;AHT MINI STARBUCKS;Skaffe vare - Convenience køler;2,00;2,00;AHT MINI STARBUCKS;Nej;AHT MINI STARBUCKS;AHT MINI STARBUCKS;Skaffe vare - Convenience køler
0726936;DELI 135-120;DELI 135-120 - convenience køler - standard;1,00;1,00;DELI 135-120;Nej;DELI 135-120;DELI 135-121;DELI 135-120 - convenience køler - standard
0726936;OPERA 900 BO M CH BR;OPERA 900 BO Chrome med skrå glas - REMOTE;5,00;5,00;OPERA 900 BO M CH BR;Nej;OPERA 900 BO M CH BR;OPERA 900 BO M CH BR;OPERA 900 BO Chrome med skrå glas - REMOTE
;;;;;;;;;
;;;;;;;;;
