Ordre;Varenummer;Varenavn;Labels;Leveret;Individ;Klargøring;Individ varenummer;Model;Navn
0732023;OPERA 1200 BO M KROM;OPERA 1200 BO M - KROM - Convenience køler - BAKE OFF;2,00;2,00;OPERA 1200 BO M KROM;Nej;OPERA 1200 BO M KROM;OPERA 1200 BO M KROM;OPERA 1200 BO M - KROM - Convenience køler - BAKE OFF
0732023;OPERA 900 SSO M STS;OPERA 900 SSO M - Rustfri - Convenience selvbetjeningskøler;1,00;1,00;OPERA 900 SSO M STS;Nej;OPERA 900 SSO M STS;OPERA 900 SSO M STS;OPERA 900 SSO M - Rustfri - Convenience selvbetjeningskøler
0732023;SAGA 90 M SELVBETJ.;Saga 90 M - 3 flytbare hylder - RUSTFRI - selvbetjent;1,00;1,00;SAGA 90 M SELVBETJ.;Nej;SAGA 90 M SELVBETJ.;SAGA 90 M SELVBETJ.;Saga 90 M - 3 flytbare hylder - RUSTFRI - selvbetjent
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
