Ordre;Varenummer;Varenavn;Labels;Leveret;Individ;Klargøring;Individ varenummer;Model;Navn
0731715;FOS 100;Åben convenience køler;1,00;1,00;FOS 100;Nej;FOS 100;FOS 100;Åben convenience køler
0731715;GEORGIA 1500 COMBI;GEORGIA 1500 COMBI - selfservice/servering -2 rum;2,00;2,00;GEORGIA 1500 COMBI;Nej;GEORGIA 1500 COMBI;GEORGIA 1500 COMBI;GEORGIA 1500 COMBI - selfservice/servering -2 rum
0731715;KENTUCKY COLD ICE 2;KENTUCKY COLD 2 - Ice Cream diskmontre 2 GN -  1140420;1,00;1,00;KENTUCKY COLD ICE 2;Nej;KENTUCKY COLD ICE 2;KENTUCKY COLD ICE 2;KENTUCKY COLD 2 - Ice Cream diskmontre 2 GN -  1140420
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
