Ordre;Varenummer;Varenavn;Labels;Leveret;Individ;Klargøring;Individ varenummer;Model;Navn
0731616;DELI 175-90 MP 9005;DELI 175-090 - convenience køler - RAL 9005;1,00;1,00;DELI 175-90 MP 9005;Nej;DELI 175-90 MP 9005;DELI 175-90 MP 9005;DELI 175-090 - convenience køler - RAL 9005
0731616;ELEGANCE 2GN AMB;ELEGANCE 2GN NEUTRAL - disk unit med 3 hylder - lige glas;1,00;1,00;ELEGANCE 2GN AMB;Nej;ELEGANCE 2GN AMB;ELEGANCE 2GN AMB;ELEGANCE 2GN NEUTRAL - disk unit med 3 hylder - lige glas
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
