Ordre;Varenummer;Varenavn;Labels;Leveret;Individ;Klargøring;Individ varenummer;Model;Navn
0732583;OPERA 1200 SO M RETR;OPERA 1200 SO M RETRO - sort convenience disk RETRO;1,00;1,00;OPERA 1200 SO M RETR;Nej;OPERA 1200 SO M RETR;OPERA 1200 SO M RETR;OPERA 1200 SO M RETRO - sort convenience disk RETRO
0732583;SAGA 90 M 0 STS;Saga 90 M - 3 flytbare hylder - RUSTFRI;1,00;1,00;SAGA 90 M 0 STS;Nej;SAGA 90 M 0 STS;SAGA 90 M 0 STS;Saga 90 M - 3 flytbare hylder - RUSTFRI
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
