Ordre;Varenummer;Varenavn;Labels;Leveret;Individ;Klargøring;Individ varenummer;Model;Navn
0726018;BA 20 S;BA 20 S - Backbar - 2 Skyde døre - 196L;1,00;1,00;;Nej;;;
0726018;BA 20 S;BA 20 S - Backbar - 2 Skyde døre - 196L;1,00;1,00;;Nej;;;
0726018;FRAGT MELLEM;FRAGT MELLEM;0,00;2,00;;Nej;;;
