Ordre;Varenummer;Varenavn;Labels;Leveret;Individ;Klargøring;Individ varenummer;Model;Navn
0732069;FLOWER COOLER;AJO Flower cooler - blomster convenience køler;3,00;3,00;FLOWER COOLER;Nej;FLOWER COOLER;FLOWER COOLER;AJO Flower cooler - blomster convenience køler
0732069;FOS 100;Åben convenience køler;1,00;1,00;FOS 100;Nej;FOS 100;FOS 100;Åben convenience køler
0732069;SAGA 90 M SELVBETJ.;Saga 90 M - 3 flytbare hylder - RUSTFRI - selvbetjent;2,00;2,00;SAGA 90 M SELVBETJ.;Nej;SAGA 90 M SELVBETJ.;SAGA 90 M SELVBETJ.;Saga 90 M - 3 flytbare hylder - RUSTFRI - selvbetjent
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
