Ordre;Varenummer;Varenavn;Labels;Leveret;Individ;Klargøring;Individ varenummer;Model;Navn
0731999;NORCON 120 RYNKEBY S;NORCON 120 RYNKEBY S;1,00;1,00;NORCON 120 RYNKEBY S;Nej;NORCON 120 RYNKEBY S;NORCON 120 RYNKEBY S;NORCON 120 RYNKEBY S
0731999;OFC 220 S WISH S;OFC 220 med dekoration WISH og 3 hylder - 250L;3,00;3,00;OFC 220 S WISH S;Nej;OFC 220 S WISH S;OFC 220 S WISH S;OFC 220 med dekoration WISH og 3 hylder - 250L
0731999;POLSEDISK 120CME;Rustfri pølsedisk 120 cm - S851244;2,00;2,00;POLSEDISK 120CME;Nej;POLSEDISK 120CME;POLSEDISK 120CME;Rustfri pølsedisk 120 cm - S851244
0731999;VELA;VELA - Disk montre - LED lys - 5 Hylder;1,00;1,00;VELA;Nej;VELA;VELA;VELA - Disk montre - LED lys - 5 Hylder
;;;;;;;;;
;;;;;;;;;
