Ordre;Varenummer;Varenavn;Labels;Leveret;Individ;Klargøring;Individ varenummer;Model;Navn
0731598;FOS 100;Åben convenience køler;5,00;5,00;FOS 100;Nej;FOS 100;FOS 100;Åben convenience køler
0731598;DELI 175-90 DO S;DELI 175-090 - convenience køler med glasdøre;2,00;2,00;DELI 175-90 DO S;Nej;DELI 175-90 DO S;DELI 175-90 DO S;DELI 175-090 - convenience køler med glasdøre
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
