Ordre;Varenummer;Varenavn;Labels;Leveret;Individ;Klargøring;Individ varenummer;Model;Navn
0730071;KENTUCKY COLD 3GN;KENTUCKY COLD 3GN - Diskmontre m/ 1 hylde 1140130;3,00;3,00;KENTUCKY COLD 3GN;Nej;KENTUCKY COLD 3GN;KENTUCKY COLD 3GN;KENTUCKY COLD 3GN - Diskmontre m/ 1 hylde 1140130
0730071;NORCON 90 SILVER;Norcon 90 - silver - 3 hylder;2,00;2,00;NORCON 90 SILVER;Nej;NORCON 90 SILVER;NORCON 90 SILVER;Norcon 90 - silver - 3 hylder
0730071;SAGA 90M EG GULD;Saga 90 M - 3 flytbare hylder - EG/GULD;4,00;4,00;SAGA 90M EG GULD;Nej;SAGA 90M EG GULD;SAGA 90M EG GULD;Saga 90 M - 3 flytbare hylder - EG/GULD
0730071;WALL 3GN RETRO;WALL 3GN - drop in unit med 3 hylder - lige glas;1,00;1,00;WALL 3GN RETRO;Nej;WALL 3GN RETRO;WALL 3GN RETRO;WALL 3GN - drop in unit med 3 hylder - lige glas
;;;;;;;;;
;;;;;;;;;
